match_id,season,round,home_team,away_team,home_win_rate_last_5,away_win_rate_last_5,home_avg_score_last_5,away_avg_score_last_5,home_avg_margin_last_5,away_avg_margin_last_5,home_win_rate_last_3,away_win_rate_last_3,home_avg_score_last_3,away_avg_score_last_3,home_avg_margin_last_3,away_avg_margin_last_3,win_rate_diff,avg_margin_diff,head_to_head_win_rate,venue_home_win_rate,days_since_last_game_home,days_since_last_game_away,home_ladder_position,away_ladder_position,margin,home_win
8952,2010,12,Richmond,West Coast,0.2,0.4,74.2,81.4,-15.8,-10.2,0.3333333333333333,0.0,77.0,76.66666666666667,-8.666666666666666,-29.333333333333332,-0.2,-5.600000000000001,,0.0,8.0,7.0,16.0,15.0,49.0,1
8953,2010,12,Western Bulldogs,Brisbane Lions,0.6,0.2,98.2,86.4,18.6,-19.8,0.3333333333333333,0.3333333333333333,106.66666666666667,86.0,17.0,-1.6666666666666667,0.39999999999999997,38.400000000000006,0.0,0.5,6.0,7.0,7.0,11.0,65.0,1
8954,2010,12,Fremantle,St Kilda,0.6,0.6,106.2,92.0,10.4,9.4,0.6666666666666666,1.0,107.0,103.66666666666667,25.0,40.0,0.0,1.0,0.0,0.8,8.0,8.0,3.0,4.0,-18.0,0
8955,2010,12,Melbourne,Collingwood,0.2,0.6,70.0,106.6,-25.4,13.6,0.3333333333333333,0.3333333333333333,79.33333333333333,81.0,-31.333333333333332,-11.333333333333334,-0.39999999999999997,-39.0,0.0,0.4,9.0,7.0,13.0,2.0,0.0,0
8956,2010,13,Hawthorn,Essendon,1.0,0.6,95.2,97.0,22.6,-4.8,1.0,0.3333333333333333,92.33333333333333,87.33333333333333,20.0,-23.666666666666668,0.4,27.400000000000002,0.0,0.6666666666666666,6.0,6.0,8.0,12.0,16.0,1
8958,2010,13,Brisbane Lions,Richmond,0.2,0.4,77.6,88.6,-30.2,4.0,0.3333333333333333,0.6666666666666666,77.66666666666667,87.33333333333333,-19.333333333333332,19.333333333333332,-0.2,-34.2,,0.6666666666666666,6.0,6.0,11.0,16.0,-19.0,0
8957,2010,13,Carlton,Fremantle,0.6,0.4,90.4,97.0,3.4,4.2,0.6666666666666666,0.3333333333333333,91.33333333333333,96.0,13.666666666666666,6.666666666666667,0.19999999999999996,-0.8000000000000003,,0.5,7.0,6.0,7.0,3.0,-9.0,0
8959,2010,13,North Melbourne,Port Adelaide,0.6,0.0,81.2,70.0,-18.4,-24.6,0.6666666666666666,0.0,88.33333333333333,49.333333333333336,-10.333333333333334,-32.0,0.6,6.200000000000003,0.0,0.7142857142857143,8.0,7.0,9.0,10.0,36.0,1
8960,2010,13,West Coast,Western Bulldogs,0.2,0.6,76.4,108.4,-21.6,30.8,0.0,0.3333333333333333,83.66666666666667,104.66666666666667,-34.0,15.333333333333334,-0.39999999999999997,-52.400000000000006,,0.3333333333333333,7.0,7.0,15.0,6.0,-60.0,0
8961,2010,13,St Kilda,Geelong,0.8,1.0,95.4,127.6,25.2,53.2,1.0,1.0,101.66666666666667,132.33333333333334,34.333333333333336,49.666666666666664,-0.19999999999999996,-28.000000000000004,,,12.0,13.0,2.0,1.0,24.0,1
8962,2010,13,Sydney,Collingwood,0.4,0.4,77.0,90.4,-6.0,0.4,0.6666666666666666,0.3333333333333333,86.33333333333333,89.66666666666667,15.0,0.6666666666666666,0.0,-6.4,,0.0,14.0,12.0,5.0,4.0,-25.0,0
8963,2010,13,Adelaide,Melbourne,0.4,0.2,85.2,72.0,-13.6,-24.6,0.3333333333333333,0.0,86.0,67.66666666666667,-23.666666666666668,-31.666666666666668,0.2,11.000000000000002,0.0,0.5,15.0,13.0,14.0,13.0,44.0,1
8964,2010,14,Carlton,Brisbane Lions,0.4,0.2,84.2,80.0,-3.6,-17.8,0.3333333333333333,0.0,85.33333333333333,77.0,1.0,-28.333333333333332,0.2,14.200000000000001,0.0,0.3333333333333333,12.0,12.0,8.0,11.0,55.0,1
8965,2010,14,Hawthorn,Western Bulldogs,1.0,0.6,97.8,112.0,25.2,35.2,1.0,0.6666666666666666,100.0,114.33333333333333,24.666666666666668,38.333333333333336,0.4,-10.000000000000004,0.0,0.75,14.0,12.0,7.0,5.0,3.0,1
